trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 0.7788007830714049}",30,1,-93.33407760892763,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 1}",1
2,False,"{'a': 0.25, 'e': 0.6065306597126334}",20,0,-71.18315287443697,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.25, 'e': 0.47236655274101474}",20,13,-20.434662827215046,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
4,False,"{'a': 0.25, 'e': 0.36787944117144233}",30,0,-79.34222207422144,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.25, 'e': 0.2865047968601901}",25,14,23.205356189182357,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.25, 'e': 0.22313016014842985}",25,0,-60.08941621801093,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.25, 'e': 0.17377394345044514}",20,6,12.146808949392426,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.25, 'e': 0.1353352832366127}",35,22,12.486588610158227,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.25, 'e': 0.10539922456186435}",20,0,8.996589192043988,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.25, 'e': 0.0820849986238988}",25,9,29.348624228415808,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.25, 'e': 0.06392786120670758}",30,17,22.456691530464873,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.25, 'e': 0.04978706836786395}",30,17,23.187325330046356,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.25, 'e': 0.038774207831722016}",20,0,29.74519427333337,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.25, 'e': 0.030197383422318508}",35,18,30.43441780539258,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.25, 'e': 0.023517745856009114}",20,5,27.297900228591878,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.25, 'e': 0.018315638888734186}",20,10,17.88019343929615,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.25, 'e': 0.014264233908999259}",35,0,57.55752008755774,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.25, 'e': 0.01110899653824231}",20,9,8.218343629055596,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.25, 'e': 0.008651695203120636}",20,4,26.900102565937747,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.25, 'e': 0.006737946999085469}",25,0,38.15212906146325,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,10,23.77666789188414,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,16,29.250455291702245,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,13,32.005654637842106,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,17,12.908348332024737,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,0,44.68871546297368,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,3,41.34594516185238,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,10,20.866169260130125,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,34.99262282925641,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,7,31.818474549564186,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,9,32.95688542021454,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.0, 'e': 0.0}",25,0,41.129955353313235,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0.0, 'e': 0.0}",20,3,30.080723757125114,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.0, 'e': 0.0}",20,0,31.97805354144357,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,True,"{'a': 0.0, 'e': 0.0}",20,5,25.451972842202018,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.0, 'e': 0.0}",25,11,27.883139765941834,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.0, 'e': 0.0}",20,0,32.73919165297148,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,True,"{'a': 0.0, 'e': 0.0}",25,5,37.99228568460781,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0.0, 'e': 0.0}",20,5,24.340016976650304,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.0, 'e': 0.0}",25,0,42.05061168134599,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,True,"{'a': 0.0, 'e': 0.0}",20,9,20.286421849205823,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0.0, 'e': 0.0}",20,2,32.97804197758579,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0.0, 'e': 0.0}",30,13,30.985608026358246,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0.0, 'e': 0.0}",30,11,38.47844779585676,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0.0, 'e': 0.0}",25,12,20.66695549627007,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0.0, 'e': 0.0}",25,0,41.33673043298816,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,True,"{'a': 0.0, 'e': 0.0}",20,0,32.60047634172455,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,True,"{'a': 0.0, 'e': 0.0}",25,0,36.210783754318236,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,True,"{'a': 0.0, 'e': 0.0}",35,18,29.20906135648785,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0.0, 'e': 0.0}",25,8,31.89367315490063,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0.0, 'e': 0.0}",25,11,25.071371738684405,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0.0, 'e': 0.0}",25,0,34.952623034861624,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,True,"{'a': 0.0, 'e': 0.0}",25,7,34.43480446551797,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'a': 0.0, 'e': 0.0}",20,12,15.423851569351585,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0.0, 'e': 0.0}",30,0,46.462706122207656,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,True,"{'a': 0.0, 'e': 0.0}",20,8,27.12793093529311,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0.0, 'e': 0.0}",25,5,32.68557855655585,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'a': 0.0, 'e': 0.0}",20,2,29.39899797496559,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0.0, 'e': 0.0}",35,21,23.656366352552393,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,True,"{'a': 0.0, 'e': 0.0}",35,16,31.697865610205362,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0.0, 'e': 0.0}",30,0,48.276196952795004,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,True,"{'a': 0.0, 'e': 0.0}",25,11,26.967027736445882,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,True,"{'a': 0.0, 'e': 0.0}",30,16,26.6072834293669,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,True,"{'a': 0.0, 'e': 0.0}",20,10,17.254787524489643,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,True,"{'a': 0.0, 'e': 0.0}",20,9,19.85196809484811,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,True,"{'a': 0.0, 'e': 0.0}",30,12,34.86639809674413,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
