trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-100,-525.3046935008032,"{0: 69, 1: 12, 2: 28, 3: 8, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-100,-647.4669747925474,"{0: 72, 1: 10, 2: 25, 3: 4, 4: 9}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,-100,-459.04482629089796,"{0: 79, 1: 10, 2: 27, 3: 6, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,-100,-547.3300305009301,"{0: 69, 1: 17, 2: 24, 3: 4, 4: 6}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,-100,-658.7897772535193,"{0: 65, 1: 14, 2: 28, 3: 6, 4: 7}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,-100,-443.1075649907706,"{0: 82, 1: 8, 2: 20, 3: 4, 4: 6}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,-58,-235.89640932154956,"{0: 59, 1: 4, 2: 12, 3: 7, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,-3,-206.4155255276257,"{0: 25, 1: 2, 2: 6, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,-33,-305.43207424098847,"{0: 39, 1: 3, 2: 15, 3: 2, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,-13,-239.05334964922392,"{0: 15, 1: 5, 2: 8, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,-24,-367.71502630144204,"{0: 33, 1: 8, 2: 11, 3: 1, 4: 6}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,-33,-216.23941008101878,"{0: 36, 1: 5, 2: 6, 3: 3, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,-81,-416.8137610583379,"{0: 63, 1: 9, 2: 21, 3: 3, 4: 5}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,-100,-745.1354515025242,"{0: 64, 1: 13, 2: 29, 3: 4, 4: 10}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,-100,-813.1893967556189,"{0: 63, 1: 12, 2: 30, 3: 3, 4: 12}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,-100,-768.417637592857,"{0: 80, 1: 19, 2: 17, 3: 7, 4: 12}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,-100,-750.9058526503261,"{0: 73, 1: 11, 2: 26, 3: 3, 4: 12}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,-100,-472.54174735974544,"{0: 74, 1: 9, 2: 29, 3: 4, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,-54,-487.80368892035915,"{0: 48, 1: 6, 2: 20, 3: 4, 4: 6}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-100,-371.2762272114416,"{0: 85, 1: 13, 2: 14, 3: 2, 4: 6}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,-56,-224.16824622242024,"{0: 54, 1: 3, 2: 14, 3: 2, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,-96,-641.4287662531144,"{0: 72, 1: 10, 2: 20, 3: 3, 4: 11}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-78,-563.7780124972376,"{0: 54, 1: 9, 2: 21, 3: 8, 4: 6}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,-100,-569.7574668882048,"{0: 70, 1: 10, 2: 28, 3: 7, 4: 5}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,-100,-577.3132146606589,"{0: 71, 1: 8, 2: 29, 3: 6, 4: 6}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,-50,-381.56637416321,"{0: 49, 1: 2, 2: 15, 3: 3, 4: 6}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,-47,-482.69680576301823,"{0: 36, 1: 6, 2: 15, 3: 2, 4: 8}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,-100,-596.6658199998382,"{0: 84, 1: 12, 2: 21, 3: 4, 4: 9}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,-100,-592.1324131520113,"{0: 81, 1: 8, 2: 30, 3: 4, 4: 7}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,-42,-255.83053912395405,"{0: 46, 1: 7, 2: 7, 3: 3, 4: 4}",0
